#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/poissonseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//poissonseq/poissonseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//poissonseq/poissonseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//poissonseq/poissonseq_package_default.db
# Output created at: 07:22:24
GeneID	log2foldchange	significance	rawPval	tt_score	GeneName	Description	Chromosome	Start	End	Strand
YDR346C	0.3055	1.1389e-05	1.0863e-05	110.8482	SVF1	Protein with a potential role in cell survival pathways, required for the diauxic growth shift; expression in mammalian cells increases survival under conditions inducing apoptosis; mutant has increased aneuploidy tolerance 	IV	1167214	1168659	-1
YPL241C	-0.4214	1.1461e-05	1.094e-05	110.8299	CIN2	GTPase-activating protein (GAP) for Cin4p; tubulin folding factor C involved in beta-tubulin (Tub2p) folding; mutants display increased chromosome loss and benomyl sensitivity; deletion complemented by human GAP, retinitis pigmentosa 2 	XVI	95372	96258	-1
YBL039W-B	-0.4382	1.1495e-05	1.1017e-05	110.7615	YBL039W-B	Putative protein of unknown function 	II	143393	143572	1
YKL036C	0.6701	1.1495e-05	1.1017e-05	110.7351	YKL036C	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related <i>Saccharomyces</i> species; partially overlaps the essential gene UGP1 gene and uncharacterized ORF YKL037W 	XI	369528	369920	-1
YJR064W	0.3055	1.1495e-05	1.1017e-05	110.4826	CCT5	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo 	X	555914	557602	1
YMR182C	0.3794	1.1495e-05	1.1017e-05	110.4578	RGM1	Putative transcriptional repressor with proline-rich zinc fingers; overproduction impairs cell growth 	XIII	624532	625167	-1
YDR447C	0.2986	1.1495e-05	1.1017e-05	110.429	RPS17B	Ribosomal protein 51 (rp51) of the small (40s) subunit; nearly identical to Rps17Ap and has similarity to rat S17 ribosomal protein 	IV	1354829	1355553	-1
YBL085W	-0.3505	1.1727e-05	1.1248e-05	110.2269	BOI1	Protein implicated in polar growth, functionally redundant with Boi2p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain 	II	63876	66818	1
YMR114C	-0.3286	1.1859e-05	1.1402e-05	109.9974	YMR114C	Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR114C is not an essential gene 	XIII	496343	497449	-1
YLR441C	0.3009	1.1859e-05	1.1402e-05	109.9534	RPS1A	Ribosomal protein 10 (rp10) of the small (40S) subunit; nearly identical to Rps1Bp and has similarity to rat S3a ribosomal protein 	XII	1018141	1018908	-1
YLR070C	-0.3559	1.1859e-05	1.1402e-05	109.923	XYL2	Xylitol dehydrogenase, converts xylitol to D-xylulose; expression induced by xylose, even though this pentose sugar is not well utilized by S. cerevisiae; null mutant has cell wall defect 	XII	274141	275211	-1
YDR280W	0.3239	1.1891e-05	1.1479e-05	109.8703	RRP45	Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp45p (PM/SCL-75, EXOSC9) 	IV	1020747	1021664	1
YHR033W	0.4357	1.1891e-05	1.1479e-05	109.7742	YHR033W	Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm 	VIII	175548	176819	1
YLR406C	0.2968	1.1891e-05	1.1479e-05	109.7591	RPL31B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl31Ap and has similarity to rat L31 ribosomal protein; associates with the karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality 	XII	931065	931755	-1
YMR201C	-0.3558	1.1891e-05	1.1479e-05	109.5569	RAD14	Protein that recognizes and binds damaged DNA during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); contains zinc finger motif; homolog of human XPA protein 	XIII	665845	667044	-1
YIR036C	-0.3087	1.1891e-05	1.1479e-05	109.5545	IRC24	Putative benzil reductase;(GFP)-fusion protein localizes to the cytoplasm and is induced by the DNA-damaging agent MMS; sequence similarity with short-chain dehydrogenase/reductases; null mutant has increased spontaneous Rad52p foci 	IX	422074	422865	-1
YPL273W	0.3052	1.1952e-05	1.1556e-05	109.3321	SAM4	S-adenosylmethionine-homocysteine methyltransferase, functions along with Mht1p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio 	XVI	25087	26064	1
YDR003W-A	-0.4003	1.1952e-05	1.1556e-05	109.3244	YDR003W-A	Putative protein of unknown function; identified by expression profiling and mass spectrometry 	IV	454782	454904	1
YOR096W	0.2968	1.1975e-05	1.1633e-05	109.0133	RPS7A	Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Bp; interacts with Kti11p; deletion causes hypersensitivity to zymocin; has similarity to rat S7 and Xenopus S8 ribosomal proteins 	XV	505794	506767	1
YPR187W	0.3048	1.1975e-05	1.1633e-05	108.927	RPO26	RNA polymerase subunit ABC23, common to RNA polymerases I, II, and III; part of central core; similar to bacterial omega subunit 	XVI	911257	911800	1
YBR076C-A	-0.4082	1.1975e-05	1.1633e-05	108.8255	YBR076C-A	Dubious open reading frame unlikely to encode a protein; partially overlaps verified gene ECM8; identified by fungal homology and RT-PCR 	II	391351	391617	-1
YAR053W	-0.94	1.1975e-05	1.1633e-05	108.7107	YAR053W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	208367	208663	1
YLR096W	0.3154	1.1975e-05	1.1633e-05	108.6633	KIN2	Serine/threonine protein kinase involved in regulation of exocytosis; localizes to the cytoplasmic face of the plasma membrane; closely related to Kin1p 	XII	332590	336033	1
YLR167W	0.3035	1.1975e-05	1.1633e-05	108.6341	RPS31	Fusion protein that is cleaved to yield a ribosomal protein of the small (40S) subunit and ubiquitin; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; interacts genetically with translation factor eIF2B 	XII	498947	499405	1
YER002W	0.3134	1.2184e-05	1.1864e-05	108.5966	NOP16	Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis 	V	156803	157498	1
YLR068W	0.4728	1.2184e-05	1.1864e-05	108.4839	FYV7	Essential protein required for maturation of 18S rRNA; required for survival upon exposure to K1 killer toxin 	XII	271008	271463	1
YNL270C	-0.5276	1.2184e-05	1.1864e-05	108.4811	ALP1	Arginine transporter; expression is normally very low and it is unclear what conditions would induce significant expression 	XIV	135940	137661	-1
YLR332W	-0.3337	1.2243e-05	1.1941e-05	108.3607	MID2	O-glycosylated plasma membrane protein that acts as a sensor for cell wall integrity signaling and activates the pathway; interacts with Rom2p, a guanine nucleotide exchange factor for Rho1p, and with cell integrity pathway protein Zeo1p 	XII	790676	791806	1
YEL039C	0.3829	1.2243e-05	1.1941e-05	108.3561	CYC7	Cytochrome c isoform 2, expressed under hypoxic conditions; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration 	V	79636	79977	-1
YPL268W	0.3706	1.2313e-05	1.2018e-05	108.2563	PLC1	Phospholipase C, hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate the signaling molecules inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in regulating many cellular processes 	XVI	35236	37845	1
YER038C	0.5155	1.2382e-05	1.2096e-05	108.1542	KRE29	Subunit of the SMC5-SMC6 complex; this complex is involved in removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance 	V	226858	228252	-1
YIL006W	-0.3733	1.2451e-05	1.2173e-05	108.1059	YIA6	Mitochondrial NAD+ transporter, involved in the transport of NAD+ into the mitochondria (see also YEA6); member of the mitochondrial carrier subfamily; disputed role as a pyruvate transporter; has putative mouse and human orthologs 	IX	344062	345183	1
YFL015C	-1.098	1.25e-05	1.225e-05	107.972	YFL015C	Dubious open reading frame unlikely to encode a protein; partially overlaps dubious ORF YFL015W-A; YFL015C is not an essential gene 	VI	106469	106963	-1
YDR266C	0.3388	1.25e-05	1.225e-05	107.9672	YDR266C	Protein of unknown function that may interact with ribosomes, based on co-purification experiments;green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; contains a RING finger domain 	IV	1000104	1002023	-1
YHR093W	-0.9048	1.25e-05	1.225e-05	107.8279	AHT1	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; multicopy suppressor of glucose transport defects, likely due to the presence of an HXT4 regulatory element in the region 	VIII	289142	289690	1
YIL016W	-0.3144	1.2559e-05	1.2327e-05	107.7324	SNL1	Protein of unknown function proposed to be involved in nuclear pore complex biogenesis and maintenance as well as protein folding; has similarity to the mammalian BAG-1 protein 	IX	321454	321933	1
YIL122W	-0.3322	1.2559e-05	1.2327e-05	107.6831	POG1	Nuclear chromatin-associated protein of unknown function; overexpression promotes recovery from pheromone induced arrest and suppresses the stress sensitivity caused by a mutation in the E3 ubiquitin ligase Rsp5p; binds upstream of BAR1 and cell cyc /.../ated genes; potential Cdc28p substrate; SBF regulated 	IX	130610	131665	1
YBR038W	0.3522	1.2793e-05	1.2635e-05	107.5202	CHS2	Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis 	II	311898	314789	1
YOR252W	0.3851	1.2793e-05	1.2635e-05	107.4794	TMA16	Protein of unknown function that associates with ribosomes 	XV	803667	804203	1
YGL007W	-0.8318	1.2793e-05	1.2635e-05	107.2785	BRP1	Dubious ORF located in the upstream region of PMA1, deletion leads to polyamine resistance due to downregulation of PMA1 	VII	483260	483637	1
YNL096C	0.2911	1.2793e-05	1.2635e-05	107.2317	RPS7B	Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Ap; interacts with Kti11p; deletion causes hypersensitivity to zymocin; has similarity to rat S7 and Xenopus S8 ribosomal proteins 	XIV	443398	444315	-1
YPR023C	-0.3292	1.2793e-05	1.2635e-05	107.1486	EAF3	Esa1p-associated factor, nonessential component of the NuA4 acetyltransferase complex, homologous to Drosophila dosage compensation protein MSL3; plays a role in regulating Ty1 transposition 	XVI	608826	610031	-1
YGR070W	0.3333	1.2793e-05	1.2635e-05	106.9646	ROM1	GDP/GTP exchange protein (GEP) for Rho1p; mutations are synthetically lethal with mutations in rom2, which also encodes a GEP 	VII	627806	631273	1
YHL012W	0.5773	1.2793e-05	1.2635e-05	106.8727	YHL012W	Putative protein of unknown function, has some homology to Ugp1p, which encodes UDP-glucose pyrophosphorylase 	VIII	78936	80417	1
YDL157C	-0.3239	1.2793e-05	1.2635e-05	106.8414	YDL157C	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies 	IV	174232	174588	-1
YPL223C	-0.3928	1.286e-05	1.2712e-05	106.7217	GRE1	Hydrophilin of unknown function; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway 	XVI	128632	129138	-1
YPL024W	-0.3552	1.2918e-05	1.2789e-05	106.3748	RMI1	Subunit of the RecQ (Sgs1p) - Topo III (Top3p) complex; stimulates superhelical relaxing and ssDNA binding activities of Top3p; involved in response to DNA damage; null mutants display increased rates of recombination and delayed S phase 	XVI	503517	504242	1
YHR141C	0.3014	1.2918e-05	1.2789e-05	106.3349	RPL42B	Protein component of the large (60S) ribosomal subunit, identical to Rpl42Ap and has similarity to rat L44; required for propagation of the killer toxin-encoding M1 double-stranded RNA satellite of the L-A double-stranded RNA virus 	VIII	381990	382751	-1
YKL151C	-0.3106	1.352e-05	1.3405e-05	105.7692	YKL151C	NADHX dehydratase; converts (S)-NADHX to NADH in an ATP-dependent manner; homologous to Carkd in mammals, and the C-terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes and archaea; YKL151C promoter contains STREs (stre /.../ponse elements) and expression is induced by heat shock or methyl methanesulfonate; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm 	XI	164917	165930	-1
YNL178W	0.2951	1.352e-05	1.3405e-05	105.7483	RPS3	Protein component of the small (40S) ribosomal subunit, has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; has similarity to E. coli S3 and rat S3 ribosomal proteins 	XIV	302680	303402	1
YJL045W	-0.4625	1.3665e-05	1.3559e-05	105.5866	YJL045W	Minor succinate dehydrogenase isozyme; homologous to Sdh1p, the major isozyme reponsible for the oxidation of succinate and transfer of electrons to ubiquinone; induced during the diauxic shift in a Cat8p-dependent manner 	X	356024	357928	1
YDR062W	0.2942	1.4119e-05	1.4022e-05	105.1317	LCB2	Component of serine palmitoyltransferase, responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine 	IV	576474	578159	1
YGL076C	0.2936	1.4241e-05	1.4176e-05	104.9842	RPL7A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2) 	VII	364335	365996	-1
YNL308C	0.3022	1.4241e-05	1.4176e-05	104.9729	KRI1	Essential nucleolar protein required for 40S ribosome biogenesis; physically and functionally interacts with Krr1p 	XIV	54122	55897	-1
YDR391C	0.3339	1.4241e-05	1.4176e-05	104.9302	YDR391C	Putative protein of unknown function, possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus 	IV	1257358	1258056	-1
YPR104C	0.3544	1.4297e-05	1.4253e-05	104.814	FHL1	Regulator of ribosomal protein transcription; has forkhead associated domain that binds phosphorylated proteins; also has forkhead DNA-binding domain but does not bind DNA in vitro; suppresses RNA pol III and splicing factor prp4 mutants 	XVI	733623	736433	-1
YHL039W	0.3546	1.4297e-05	1.4253e-05	104.7999	EFM1	Probable lysine methyltransferase involved in the monomethylation of eEF1A (Tef1p/Tef2p); SET-domain family member; predicted involvement in ribosome biogenesis; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm 	VIII	21783	23540	1
YJL104W	0.3341	1.433e-05	1.433e-05	104.7272	PAM16	Constituent of the import motor (PAM complex) component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity; contains a J-like domain 	X	227327	227776	1
YKR094C	0.2948	1.433e-05	1.433e-05	104.6826	RPL40B	Fusion protein, identical to Rpl40Ap, that is cleaved to yield ubiquitin and a ribosomal protein of the large (60S) ribosomal subunit with similarity to rat L40; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes 	XI	617996	618750	-1
YLR103C	-0.3739	1.433e-05	1.433e-05	104.6635	CDC45	DNA replication initiation factor; recruited to MCM pre-RC complexes at replication origins; promotes release of MCM from Mcm10p, recruits elongation machinery; mutants in human homolog may cause velocardiofacial and DiGeorge syndromes 	XII	343989	345941	-1
YGR236C	-0.6613	1.433e-05	1.433e-05	104.5958	SPG1	Protein required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies 	VII	962530	962817	-1
YML126C	0.2923	1.4473e-05	1.4484e-05	104.4835	ERG13	3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis 	XIII	19060	20535	-1
YOR130C	-0.3131	1.4538e-05	1.4561e-05	104.3848	ORT1	Ornithine transporter of the mitochondrial inner membrane, exports ornithine from mitochondria as part of arginine biosynthesis; human ortholog is associated with hyperammonaemia-hyperornithinaemia-homocitrullinuria (HHH) syndrome 	XV	569929	570807	-1
YHL015W	0.2906	1.4559e-05	1.4638e-05	104.2733	RPS20	Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; has similarity to E. coli S10 and rat S20 ribosomal proteins 	VIII	75412	75777	1
YBL092W	0.2937	1.4559e-05	1.4638e-05	104.2687	RPL32	Protein component of the large (60S) ribosomal subunit, has similarity to rat L32 ribosomal protein; overexpression disrupts telomeric silencing 	II	45978	46370	1
YIL069C	0.2933	1.4559e-05	1.4638e-05	104.2186	RPS24B	Protein component of the small (40S) ribosomal subunit; identical to Rps24Ap and has similarity to rat S24 ribosomal protein 	IX	231553	232369	-1
YEL011W	0.3209	1.4559e-05	1.4638e-05	104.1948	GLC3	Glycogen branching enzyme, involved in glycogen accumulation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern 	V	133120	135234	1
YGR081C	0.4511	1.4559e-05	1.4638e-05	104.1686	SLX9	Protein required for pre-rRNA processing; associated with the 90S pre-ribosome and 43S small ribosomal subunit precursor; interacts with U3 snoRNA; deletion mutant has synthetic fitness defect with an sgs1 deletion mutant 	VII	643148	643780	-1
YKL006W	0.2948	1.469e-05	1.4792e-05	104.0487	RPL14A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Bp and has similarity to rat L14 ribosomal protein; rpl14a csh5 double null mutant exhibits synthetic slow growth 	XI	431906	432720	1
YLR363W-A	0.477	1.469e-05	1.4792e-05	104.0193	YLR363W-A	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus 	XII	853461	853718	1
YDR036C	0.3445	1.471e-05	1.4869e-05	103.9144	EHD3	3-hydroxyisobutyryl-CoA hydrolase, member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis 	IV	523211	524713	-1
YLR388W	0.2934	1.471e-05	1.4869e-05	103.894	RPS29A	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps29Bp and has similarity to rat S29 and E. coli S14 ribosomal proteins 	XII	898651	898821	1
YER015W	0.4135	1.471e-05	1.4869e-05	103.8396	FAA2	Medium chain fatty acyl-CoA synthetase, activates imported fatty acids; accepts a wide range of fatty acid chain lengths with a preference for medium chains, C9:0-C13:0; localized to the peroxisome 	V	184541	186775	1
YJL076W	0.3015	1.471e-05	1.4869e-05	103.8081	NET1	Core subunit of the RENT complex, which is a complex involved in nucleolar silencing and telophase exit; stimulates transcription by RNA polymerase I and regulates nucleolar structure 	X	295245	298814	1
YML010W	0.2941	1.471e-05	1.4869e-05	103.7707	SPT5	Protein involved in regulating Pol I and Pol II transcription and pre-mRNA processing; forms a complex with Spt4p; contains a C-terminal repeat domain that is a target for phosphorylation by Sgv1p 	XIII	247677	250868	1
YBR031W	0.2894	1.4775e-05	1.4946e-05	103.7446	RPL4A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl4Bp and has similarity to E. coli L4 and rat L4 ribosomal proteins 	II	300166	301254	1
YBL051C	0.3006	1.4916e-05	1.51e-05	103.6429	PIN4	Protein involved in G2/M phase progression and response to DNA damage, interacts with Rad53p; contains an RNA recognition motif, a nuclear localization signal, and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage 	II	122753	124759	-1
YIL131C	0.4126	1.5133e-05	1.5331e-05	103.4284	FKH1	Forkhead family transcription factor with a minor role in the expression of G2/M phase genes; negatively regulates transcriptional elongation; positive role in chromatin silencing at HML and HMR; regulates donor preference during switching 	IX	100781	102235	-1
YDL061C	0.2985	1.5262e-05	1.5485e-05	103.1941	RPS29B	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps29Ap and has similarity to rat S29 and E. coli S14 ribosomal proteins 	IV	340628	340798	-1
YKL188C	-0.3387	1.5262e-05	1.5485e-05	103.1108	PXA2	Subunit of a heterodimeric peroxisomal ATP-binding cassette transporter complex (Pxa1p-Pxa2p), required for import of long-chain fatty acids into peroxisomes; similarity to human adrenoleukodystrophy transporter and ALD-related proteins 	XI	86225	88786	-1
YGR283C	0.371	1.5554e-05	1.5794e-05	102.8838	YGR283C	Putative S-adenosylmethionine-dependent methyltransferase; may interact with ribosomes, based on co-purification experiments; predicted to be involved in ribosome biogenesis; null mutant is resistant to fluconazole; GFP-fusion protein localizes to t /.../leolus 	VII	1059015	1060040	-1
YFL022C	0.2878	1.5618e-05	1.5871e-05	102.8042	FRS2	Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs1p to form active enzyme; evolutionarily distant from mitochondrial phenylalanyl-tRNA synthetase based on protein sequence, but substrate binding is similar 	VI	93499	95010	-1
YMR312W	0.3707	1.5758e-05	1.6025e-05	102.5614	ELP6	Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity 	XIII	898405	899226	1
YNL136W	-0.3114	1.5949e-05	1.6256e-05	102.2786	EAF7	Subunit of the NuA4 histone acetyltransferase complex, which acetylates the N-terminal tails of histones H4 and H2A 	XIV	370368	371645	1
YOR020C	0.3034	1.5949e-05	1.6256e-05	102.2578	HSP10	Mitochondrial matrix co-chaperonin that inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES 	XV	370524	370844	-1
YMR083W	0.2893	1.5949e-05	1.6256e-05	102.2487	ADH3	Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production 	XIII	434788	435915	1
YMR186W	0.2824	1.6012e-05	1.6333e-05	101.9774	HSC82	Cytoplasmic chaperone of the Hsp90 family, redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock 	XIII	632355	634472	1
YMR142C	0.2898	1.6063e-05	1.641e-05	101.9308	RPL13B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Ap; not essential for viability; has similarity to rat L13 ribosomal protein 	XIII	550206	551207	-1
YCL055W	-0.3386	1.6063e-05	1.641e-05	101.885	KAR4	Transcription factor required for gene regulation in response to pheromones; also required during meiosis; exists in two forms, a slower-migrating form more abundant during vegetative growth and a faster-migrating form induced by pheromone 	III	27929	28936	1
YKL008C	0.3059	1.6102e-05	1.6487e-05	101.8703	LAC1	Ceramide synthase component, involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lag1p 	XI	427295	428551	-1
YOL067C	0.4045	1.6102e-05	1.6487e-05	101.8338	RTG1	Transcription factor (bHLH) involved in interorganelle communication between mitochondria, peroxisomes, and nucleus 	XV	201985	202518	-1
YDR456W	-0.3149	1.6102e-05	1.6487e-05	101.8304	NHX1	Na+/H+ and K+/H+ exchanger, required for intracellular sequestration of Na+ and K+; located in the vacuole and late endosome compartments; required for osmotolerance to acute hypertonic shock and for vacuolar fusion 	IV	1367485	1369386	1
YBR239C	0.3893	1.6165e-05	1.6564e-05	101.768	ERT1	Transcriptional regulator of nonfermentable carbon utilization; GFP-fusion protein localizes to cytoplasm, nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition 	II	698354	699943	-1
YOL139C	0.2907	1.6204e-05	1.6641e-05	101.5996	CDC33	Cytoplasmic mRNA cap binding protein and translation initiation factor eIF4E; the eIF4E-cap complex is responsible for mediating cap-dependent mRNA translation via interactions with translation initiation factor eIF4G (Tif4631p or Tif4632p) 	XV	60383	61024	-1
YCR024C	-0.3401	1.6204e-05	1.6641e-05	101.5934	SLM5	Mitochondrial asparaginyl-tRNA synthetase 	III	160744	162222	-1
YDL018C	-0.3343	1.6204e-05	1.6641e-05	101.5723	ERP3	Protein with similarity to Emp24p and Erv25p, member of the p24 family involved in ER to Golgi transport 	IV	422833	423510	-1
YJL136C	0.2939	1.6342e-05	1.6795e-05	101.419	RPS21B	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps21Ap and has similarity to rat S21 ribosomal protein 	X	156550	157273	-1
YOR074C	-0.3388	1.7053e-05	1.7565e-05	100.9703	CDC21	Thymidylate synthase, required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S 	XV	466675	467589	-1
YMR144W	-0.3665	1.7053e-05	1.7565e-05	100.8886	YMR144W	Putative protein of unknown function; localized to the nucleus; YMR144W is not an essential gene 	XIII	553362	554390	1
YER169W	0.3333	1.7053e-05	1.7565e-05	100.8789	RPH1	JmjC domain-containing histone demethylase; specifically demethylates H3K36 tri- and dimethyl modification states; associates with actively transcribed (RNA polymerase II) regions in vivo and specifically targets H3K36 in its trimethylation state as /.../ubstrate; transcriptional repressor of PHR1; Rph1p phosphorylation during DNA damage is under control of the MEC1-RAD53 pathway 	V	523369	525759	1
YOL105C	-0.3025	1.7177e-05	1.772e-05	100.8321	WSC3	Partially redundant sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway involved in maintenance of cell wall integrity; involved in the response to heat shock and other stressors; regulates 1,3-beta-glucan synthesis 	XV	114138	115808	-1
YHR206W	0.2988	1.7177e-05	1.772e-05	100.8105	SKN7	Nuclear response regulator and transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; part of a branched two-component signaling system; required for optimal induction of heat-shock genes in response /.../idative stress; involved in osmoregulation 	VIII	512732	514600	1
YCR079W	-0.2972	1.7388e-05	1.7951e-05	100.4828	PTC6	Mitochondrial type 2C protein phosphatase (PP2C) with similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase 	III	252845	254173	1
YDR359C	-0.3096	1.745e-05	1.8028e-05	100.431	EAF1	Component of the NuA4 histone acetyltransferase complex; acts as a platform for assembly of NuA4 subunits into the native complex; required for initiation of pre-meiotic DNA replication, likely due to its requirement for expression of IME1 	IV	1191936	1194884	-1
YGR059W	-0.7032	1.7511e-05	1.8105e-05	100.4133	SPR3	Sporulation-specific homolog of the yeast CDC3/10/11/12 family of bud neck microfilament genes; septin protein involved in sporulation; regulated by ABFI 	VII	607563	609101	1
YIR041W	-0.7115	1.756e-05	1.8182e-05	100.3355	PAU15	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions 	IX	433929	434303	1
YBL027W	0.2845	1.756e-05	1.8182e-05	100.2513	RPL19B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl19Ap and has similarity to rat L19 ribosomal protein; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal 	II	168423	169376	1
YDR104C	-0.3413	1.7582e-05	1.8259e-05	100.2364	SPO71	Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis 	IV	661173	664910	-1
YHR179W	0.2867	1.7582e-05	1.8259e-05	100.0625	OYE2	Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death 	VIII	462502	463704	1
YBL004W	0.2994	1.7582e-05	1.8259e-05	100.0475	UTP20	Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA 	II	227636	235117	1
YLL032C	0.3891	1.7582e-05	1.8259e-05	99.9771	YLL032C	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL032C is not an essential gene 	XII	74270	76747	-1
YCL040W	0.3095	1.7791e-05	1.849e-05	99.839	GLK1	Glucokinase, catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources 	III	50838	52340	1
