#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/samseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default.db
# Output created at: 07:24:50
GeneID	log2foldchange	significance	Score	GeneName	Description	Chromosome	Start	End	Strand
YEL059W	-0.191069085582882	0.0704313725490196	-118.15	HHY1	Dubious open reading frame unlikely to encode a functional protein; mutant is hypersensitive to hygromycin B indicative of defects in vacuolar trafficking 	V	42652	42960	1
YEL060C	-0.0133008226552333	0.535727668845316	-36.75	PRB1	Vacuolar proteinase B (yscB), a serine protease of the subtilisin family; involved in protein degradation in the vacuole and required for full protein degradation during sporulation; activity inhibited by Pbi2p 	V	40046	41953	-1
YEL061C	0.0341698652282346	0.868429920116195	-9.7	CIN8	Kinesin motor protein involved in mitotic spindle assembly and chromosome segregation 	V	36535	39537	-1
YEL062W	-0.0446138215556323	0.729071169208424	-20.35	NPR2	Subunit of SEA (Seh1-associated), Npr2/3, and Iml1p complexes; Npr2/3 complex mediates downregulation of TORC1 activity upon amino acid limitation; SEA complex is a coatomer-related complex that associates dynamically with the vacuole; Iml1p complex /.../p-Npr2p-Npr3p) is required for non-nitrogen-starvation (NNS)-induced autophagy; Iml1p interacts primarily with phosphorylated Npr2p; homolog of human NPRL2; target of Grr1p; required for growth on urea and proline 	V	34407	36254	1
YEL063C	-0.065008777148179	0.0311321713870734	-146.2	CAN1	Plasma membrane arginine permease, requires phosphatidyl ethanolamine (PE) for localization, exclusively associated with lipid rafts; mutation confers canavanine resistance 	V	31694	33466	-1
YEL064C	-0.0898597752502683	0.00993391430646339	-184.65	AVT2	Putative transporter, member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters 	V	29797	31239	-1
YEL065W	0.722445670547547	0.000145243282498184	868.85	SIT1	Ferrioxamine B transporter, member of the ARN family of transporters that specifically recognize siderophore-iron chelates; transcription is induced during iron deprivation and diauxic shift; potentially phosphorylated by Cdc28p 	V	27657	29543	1
YEL066W	-0.61530526958525	0.000145243282498184	-819.6	HPA3	D-Amino acid N-acetyltransferase, catalyzes N-acetylation of D-amino acids through ordered bi-bi mechanism in which acetyl-CoA is first substrate bound and CoA is last product liberated; similar to Hpa2p, acetylates histones weakly in vitro 	V	26667	27206	1
YEL067C	-0.151853510803343	0.00227814088598408	-242.35	YEL067C	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies 	V	26189	26776	-1
YEL068C	-0.150975461548775	0.00110239651416124	-274	YEL068C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	V	25646	25978	-1
YEL069C	0.537572941927492	0.000145243282498184	525.95	HXT13	Hexose transporter, induced in the presence of non-fermentable carbon sources, induced by low levels of glucose, repressed by high levels of glucose 	V	21537	23231	-1
YEL070W	-0.00637572010117547	0.484279593318809	-41.65	DSF1	Deletion suppressor of mpt5 mutation 	V	19589	21097	1
YEL071W	-0.505881720857221	0.000145243282498184	-889.95	DLD3	D-lactate dehydrogenase, part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source, located in the cytoplasm 	V	16355	17845	1
YEL072W	-0.222561428848123	0.000145243282498184	-404.6	RMD6	Protein required for sporulation 	V	13720	14415	1
YEL073C	0.334030430172297	0.000173565722585288	346	YEL073C	Putative protein of unknown function; located adjacent to ARS503 and the telomere on the left arm of chromosome V; regulated by inositol/choline 	V	7230	7553	-1
YEL074W	-0.00409961357912196	0.930665940450254	-5.1	YEL074W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; large scale expression analysis showed an increase in mRNA accumulation in strains mutant for exosome components. 	V	6126	6464	1
YEL075C	0.129695177394272	0.211104575163399	77.25	YEL075C	Putative protein of unknown function 	V	5345	5713	-1
YEL075W-A	0.223482958110683	0.00431808278867096	215.15	YEL075W-A	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	V	4870	5481	1
YEL076C	0.575634342286319	0.0106644880174292	182.15	YEL076C	Putative protein of unknown function 	V	4464	5114	-1
YEL076C-A	0.19682826958801	0.0116666666666666	179.1	YEL076C-A	Putative protein of unknown function 	V	4185	5114	-1
YEL077C	-0.273023653339977	0.000145243282498184	-518.75	YEL077C	Helicase-like protein encoded within the telomeric Y' element 	V	264	4097	-1
YER001W	1.18590679327694	0.000145243282498184	901.95	MNN1	Alpha-1,3-mannosyltransferase, integral membrane glycoprotein of the Golgi complex, required for addition of alpha1,3-mannose linkages to N-linked and O-linked oligosaccharides, one of five S. cerevisiae proteins of the MNN1 family 	V	153520	155808	1
YER002W	0.227777164814891	0.000145243282498184	452.15	NOP16	Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis 	V	156803	157498	1
YER003C	0.0867744529820964	0.013562091503268	174.1	PMI40	Mannose-6-phosphate isomerase, catalyzes the interconversion of fructose-6-P and mannose-6-P; required for early steps in protein mannosylation 	V	157736	159118	-1
YER004W	-0.284613459005947	0.000145243282498184	-635	FMP52	Protein of unknown function, localized to the mitochondrial outer membrane; induced by treatment with 8-methoxypsoralen and UVA irradiation 	V	159580	160275	1
YER005W	0.179331446512058	0.000158315177923042	357.35	YND1	Apyrase with wide substrate specificity, helps prevent inhibition of glycosylation by hydrolyzing nucleoside tri- and diphosphates that inhibit glycotransferases; partially redundant with Gda1p; mediates adenovirus E4orf4-induced toxicity 	V	160550	162442	1
YER006C-A	0.226849281138612	0.005119825708061	208.2	YER006C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF PAC2 	V	164344	164661	-1
YER006W	0.321398711456696	0.000145243282498184	597.85	NUG1	GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus 	V	162723	164285	1
YER007C-A	0.0626505331372348	0.015923021060276	168.7	TMA20	Protein of unknown function that associates with ribosomes and has a putative RNA binding domain; interacts with Tma22p; null mutant exhibits translation defects; has homology to human oncogene MCT-1 	V	166237	166885	-1
YER007W	0.0035700056542922	0.996633986928105	0.25	PAC2	Microtubule effector required for tubulin heterodimer formation, binds alpha-tubulin, required for normal microtubule function, null mutant exhibits cold-sensitive microtubules and sensitivity to benomyl 	V	164527	166083	1
YER008C	-0.0317631678617627	0.0518533042846769	-128.8	SEC3	Subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, Exo84p) which mediates targeting of post-Golgi vesicles to sites of active exocytosis; Sec3p specifically is a spatial landmark for secretion 	V	167808	171818	-1
YER009W	0.14320040317189	0.000145243282498184	448.6	NTF2	Nuclear envelope protein, interacts with GDP-bound Gsp1p and with proteins of the nuclear pore to transport Gsp1p into the nucleus where it is an essential player in nucleocytoplasmic transport 	V	172115	172492	1
YER010C	-0.18831786612056	0.000145243282498184	-427.6	YER010C	Protein of unknown function, forms a ring-shaped homotrimer; has similarity to members of the prokaryotic rraA family; possibly involved in a phosphotransfer reaction 	V	172634	173338	-1
YER011W	2.17075642552771	0.000145243282498184	902	TIR1	Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking 	V	175248	176012	1
YER012W	-0.0131157389314185	0.215887436456064	-76.4	PRE1	Beta 4 subunit of the 20S proteasome; localizes to the nucleus throughout the cell cycle 	V	177835	178431	1
YER013W	-0.109731459109132	0.00320987654320993	-227.55	PRP22	DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase, associates with lariat intermediates before the second catalytic step of splicing; mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes 	V	178841	182278	1
YER014W	-0.111948486121592	0.0148264342774147	-171.05	HEM14	Protoporphyrinogen oxidase, a mitochondrial enzyme that catalyzes the seventh step in the heme biosynthetic pathway, converting protoporphyrinogen IX to protoporphyrin IX; inhibited by diphenyl ether-type herbicides 	V	182600	184219	1
YER015W	0.266097714013935	0.000145243282498184	481.95	FAA2	Medium chain fatty acyl-CoA synthetase, activates imported fatty acids; accepts a wide range of fatty acid chain lengths with a preference for medium chains, C9:0-C13:0; localized to the peroxisome 	V	184541	186775	1
YER016W	-0.0291459514203496	0.188125635439361	-81.75	BIM1	Microtubule-binding protein that together with Kar9p makes up the cortical microtubule capture site and delays the exit from mitosis when the spindle is oriented abnormally 	V	188277	189311	1
YER017C	-0.0208558923683428	0.414136528685548	-48.9	AFG3	Component, with Yta12p, of the mitochondrial inner membrane m-AAA protease that mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes 	V	189503	191788	-1
YER018C	-0.0401394470103818	0.0303442265795207	-147.1	SPC25	Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p); involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering 	V	191959	192624	-1
YER019C-A	-0.061430166377479	0.00651270878721861	-199.45	SBH2	Ssh1p-Sss1p-Sbh2p complex component, involved in protein translocation into the endoplasmic reticulum; homologous to Sbh1p 	V	194273	194539	-1
YER019W	-0.00695287093278971	0.60223602033406	30.8	ISC1	Mitochondrial membrane localized inositol phosphosphingolipid phospholipase C, hydrolyzes complex sphingolipids to produce ceramide; activated by phosphatidylserine, cardiolipin, and phosphatidylglycerol; mediates Na+ and Li+ halotolerance 	V	192797	194230	1
YER020W	0.184056424752588	0.000145243282498184	501.6	GPA2	Nucleotide binding alpha subunit of the heterotrimeric G protein that interacts with the receptor Gpr1p, has signaling role in response to nutrients; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery 	V	195168	196517	1
YER021W	-0.00582376441863038	0.278122004357298	-66.15	RPN3	Essential, non-ATPase regulatory subunit of the 26S proteasome lid, similar to the p58 subunit of the human 26S proteasome; temperature-sensitive alleles cause metaphase arrest, suggesting a role for the proteasome in cell cycle control 	V	196948	198519	1
YER022W	-0.0332971160524135	0.695142338416848	-23.05	SRB4	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; homozygosity of the human MED17 L371P mutation is associated with infanti /.../ebral and cerebellar atrophy with poor myelination 	V	198812	200875	1
YER023W	0.0740911630632462	0.0958678286129267	107	PRO3	Delta 1-pyrroline-5-carboxylate reductase, catalyzes the last step in proline biosynthesis 	V	201076	201936	1
YER024W	-0.251098764159548	0.000145243282498184	-466.85	YAT2	Carnitine acetyltransferase; has similarity to Yat1p, which is a carnitine acetyltransferase associated with the mitochondrial outer membrane 	V	202192	204963	1
YER025W	0.315413992674078	0.000145243282498184	713.15	GCD11	Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP and tRNAi-Met 	V	205251	206834	1
YER026C	0.0924278962308192	0.00112854030501096	272.8	CHO1	Phosphatidylserine synthase, functions in phospholipid biosynthesis; catalyzes the reaction CDP-diaclyglycerol + L-serine = CMP + L-1-phosphatidylserine, transcriptionally repressed by myo-inositol and choline 	V	207644	208474	-1
YER027C	0.0915956961346899	0.00136165577342048	263.95	GAL83	One of three possible beta-subunits of the Snf1 kinase complex, allows nuclear localization of the Snf1 kinase complex in the presence of a nonfermentable carbon source; contains glycogen-binding domain 	V	208979	210232	-1
YER028C	0.33180806520736	0.000145243282498184	404.85	MIG3	Probable transcriptional repressor involved in response to toxic agents such as hydroxyurea that inhibit ribonucleotide reductase; phosphorylation by Snf1p or the Mec1p pathway inactivates Mig3p, allowing induction of damage response genes 	V	210692	211876	-1
YER029C	-0.0539644852224498	0.00509440813362379	-208.35	SMB1	Core Sm protein Sm B; part of heteroheptameric complex (with Smd1p, Smd2p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm B and Sm B' 	V	212587	213177	-1
YER030W	-0.184583784712409	0.000145243282498184	-455.25	CHZ1	Histone chaperone for Htz1p/H2A-H2B dimer; required for the stabilization of the Chz1p-Htz1-H2B complex; has overlapping function with Nap1p; null mutant displays weak sensitivity to MMS and benomyl; contains a highly conserved CHZ motif 	V	213437	213898	1
YER031C	0.0616236072734313	0.00651270878721861	199.45	YPT31	Rab family GTPase, very similar to Ypt32p; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi 	V	214076	214747	-1
YER032W	0.00599472907015175	0.984981844589688	-1.1	FIR1	Protein involved in 3' mRNA processing, interacts with Ref2p; potential Cdc28p substrate 	V	215063	217693	1
YER033C	0.034081722230513	0.114458968772694	100.55	ZRG8	Protein of unknown function; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; GFP-fusion protein is localized to the cytoplasm; transcription induced under conditions of zinc deficiency 	V	218057	221287	-1
YER034W	-0.0545106533226858	0.0289012345679012	-148.75	YER034W	Putative protein of unknown function; non-essential gene; expression induced upon calcium shortage 	V	221846	222403	1
YER035W	0.0829617836357437	0.0498968772694263	130.1	EDC2	RNA-binding protein, activates mRNA decapping directly by binding to the mRNA substrate and enhancing the activity of the decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress 	V	222639	223076	1
YER036C	0.298124219732621	0.000145243282498184	652.9	ARB1	ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p 	V	223367	225199	-1
YER037W	0.950345027971276	0.000145243282498184	896.05	PHM8	Lysophosphatidic acid (LPA) phosphatase involved in LPA hydrolysis in response to phosphate starvation; phosphatase activity is soluble and Mg2+ dependent; expression is induced by low phosphate levels and by inactivation of Pho85p 	V	225889	226854	1
YER038C	0.350245180156291	0.000145243282498184	514.8	KRE29	Subunit of the SMC5-SMC6 complex; this complex is involved in removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance 	V	226858	228252	-1
YER038W-A	-0.992134075943388	0.0367770515613653	-140.6	YER038W-A	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 99% of ORF overlaps the verified gene HVG1; protein product detected in mitochondria 	V	228451	228831	1
YER039C	-0.242308666988363	0.000620915032679686	-295.85	HVG1	Protein of unknown function, has homology to Vrg4p 	V	228456	229205	-1
YER039C-A	-0.202410258046599	0.00536601307189538	-206.45	YER039C-A	Putative protein of unknown function; YER039C-A is not an essential gene 	V	229263	229481	-1
YER040W	-0.0651622508080096	0.442137254901961	-45.9	GLN3	Transcriptional activator of genes regulated by nitrogen catabolite repression (NCR), localization and activity regulated by quality of nitrogen source 	V	229795	231987	1
YER041W	-0.153546215934564	0.00320987654320993	-227.55	YEN1	Holliday junction resolvase; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; homolog of human GEN1 and has similarity to S. cerevisiae endonuclease Rth1p 	V	232461	234740	1
YER042W	-0.654963384733869	0.000145243282498184	-819.7	MXR1	Methionine-S-sulfoxide reductase, involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR2; involved in the regulation of lifespan 	V	234937	235491	1
YER043C	0.306903632915905	0.000145243282498184	779.15	SAH1	S-adenosyl-L-homocysteine hydrolase, catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor 	V	235770	237119	-1
YER044C	0.384462160595226	0.000145243282498184	739.25	ERG28	Endoplasmic reticulum membrane protein, may facilitate protein-protein interactions between the Erg26p dehydrogenase and the Erg27p 3-ketoreductase and/or tether these enzymes to the ER, also interacts with Erg6p 	V	237570	238016	-1
YER044C-A	0.165016159679746	0.60742846768337	30.35	MEI4	Meiosis-specific protein involved in double-strand break formation during meiotic recombination; required for chromosome synapsis and production of viable spores 	V	238460	239774	-1
YER045C	0.0792697043299215	0.00502469135802473	209	ACA1	Basic leucine zipper (bZIP) transcription factor of the ATF/CREB family, may regulate transcription of genes involved in utilization of non-optimal carbon sources 	V	240032	241501	-1
YER046W	-0.12459336632722	0.0027552650689906	-234.4	SPO73	Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensible for both nuclear divisions during meiosis 	V	243180	243611	1
YER046W-A	-0.414446466330269	0.0174742193173566	-165.55	YER046W-A	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	V	243700	244029	1
YER047C	-0.35051986072628	0.000145243282498184	-656.75	SAP1	Putative ATPase of the AAA family, interacts with the Sin1p transcriptional repressor in the two-hybrid system 	V	243810	246503	-1
YER048C	-0.136908115618422	0.000145243282498184	-426.75	CAJ1	Nuclear type II J heat shock protein of the E. coli dnaJ family, contains a leucine zipper-like motif, binds to non-native substrates for presentation to Ssa3p, may function during protein translocation, assembly and disassembly 	V	246982	248157	-1
YER048W-A	-0.0707925602257277	0.00858605664488014	-189.65	ISD11	Cysteine desulfurase (Nfs1p) activator; essential for the formation of the persulfide intermediate at the desulfurase active site during pyridoxal phosphate-dependent desulfuration of cysteine; required for mitochondrial iron-sulfur cluster biosynthesis 	V	250718	251002	1
YER049W	0.308524494885444	0.000145243282498184	563.75	TPA1	Poly(rA)-binding protein involved in translation termination efficiency, mRNA poly(A) tail length and mRNA stability; interacts with Sup45p (eRF1), Sup35p (eRF3) and Pab1p; similar to prolyl 4-hydroxylases; binds Fe(III) and 2-oxoglutarate 	V	251728	253662	1
YER050C	0.000252006115676187	0.793084967320261	15.4	RSM18	Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S18 ribosomal protein 	V	253971	254387	-1
YER051W	-0.00201550962621503	0.876437908496732	9.1	JHD1	JmjC domain family histone demethylase specific for H3-K36, similar to proteins found in human, mouse, drosophila, X. laevis, C. elegans, and S. pombe 	V	254656	256134	1
YER052C	0.306486310810537	0.000145243282498184	731.5	HOM3	Aspartate kinase (L-aspartate 4-P-transferase); cytoplasmic enzyme that catalyzes the first step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis 	V	256375	257958	-1
YER053C	0.715375786766697	0.000145243282498184	895.05	PIC2	Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature 	V	258737	259639	-1
YER053C-A	0.309276664782533	0.0751161946259986	115.85	YER053C-A	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum 	V	260933	261046	-1
YER054C	-0.04403266218577	0.0674342774146695	-119.7	GIP2	Putative regulatory subunit of the protein phosphatase Glc7p, involved in glycogen metabolism; contains a conserved motif (GVNK motif) that is also found in Gac1p, Pig1p, and Pig2p 	V	262052	263698	-1
YER055C	0.477736377356437	0.000145243282498184	873.3	HIS1	ATP phosphoribosyltransferase, a hexameric enzyme, catalyzes the first step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control 	V	264892	265785	-1
YER056C	0.607719820341829	0.000145243282498184	895.35	FCY2	Purine-cytosine permease, mediates purine (adenine, guanine, and hypoxanthine) and cytosine accumulation 	V	266512	268113	-1
YER056C-A	0.188802180599111	0.000145243282498184	513.55	RPL34A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl34Bp and has similarity to rat L34 ribosomal protein 	V	269423	270185	-1
YER057C	0.00883825385272978	0.138801016702978	93.35	HMF1	Member of the p14.5 protein family with similarity to Mmf1p, functionally complements Mmf1p function when targeted to mitochondria; heat shock inducible; high-dosage growth inhibitor; forms a homotrimer in vitro 	V	270737	271126	-1
YER058W	-0.0994112326808508	0.109933188090051	-102.05	PET117	Protein required for assembly of cytochrome c oxidase 	V	271768	272091	1
YER059W	-0.0326862033481736	0.0605686274509804	-123.45	PCL6	Pho85p cyclin of the Pho80p subfamily; forms the major Glc8p kinase together with Pcl7p and Pho85p; involved in the control of glycogen storage by Pho85p; stabilized by Elongin C binding 	V	272624	273886	1
YER060W	0.12036836574919	0.000618010167029791	295.95	FCY21	Putative purine-cytosine permease, very similar to Fcy2p but cannot substitute for its function 	V	274567	276153	1
YER060W-A	0.39131694009987	0.000145243282498184	688.65	FCY22	Putative purine-cytosine permease, very similar to Fcy2p but cannot substitute for its function 	V	276572	278164	1
YER061C	0.154344317443947	0.000342774146695668	314.4	CEM1	Mitochondrial beta-keto-acyl synthase with possible role in fatty acid synthesis; required for mitochondrial respiration 	V	278298	279626	-1
YER062C	0.232161751429706	0.000145243282498184	425.6	HOR2	One of two redundant DL-glycerol-3-phosphatases (RHR2/GPP1 encodes the other) involved in glycerol biosynthesis; induced in response to hyperosmotic stress and oxidative stress, and during the diauxic transition 	V	279930	280682	-1
YER063W	-0.2290354916744	0.000145243282498184	-542	THO1	Conserved nuclear RNA-binding protein; specifically binds to transcribed chromatin in a THO- and RNA-dependent manner, genetically interacts with shuttling hnRNP NAB2; overproduction suppresses transcriptional defect caused by hpr1 mutation 	V	281710	282366	1
YER064C	0.363455206669532	0.000145243282498184	774.15	YER064C	Non-essential nuclear protein; null mutation has global effects on transcription 	V	282705	284222	-1
YER065C	-0.0656817894565298	0.0036056644880174	-222.7	ICL1	Isocitrate lyase, catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose 	V	285241	286914	-1
YER066C-A	0.455689710325791	0.000145243282498184	605.95	YER066C-A	Dubious open reading frame unlikely to encode a protein, partially overlaps uncharacterized ORF YER067W 	V	291703	292203	-1
YER066W	-0.00458669934555595	0.902747276688453	-7.15	RRT13	Putative protein of unknown function; non-essential gene identified in a screen for mutants with decreased levels of rDNA transcription 	V	290242	290799	1
YER067C-A	1.32213441802274	0.000145243282498184	797.5	YER067C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YER067W 	V	292240	292563	-1
YER068C-A	-0.00963490366143552	0.0127719680464779	-176.1	YER068C-A	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	V	295301	295732	-1
YER068W	-9.76192437309325e-05	0.623054466230937	29	MOT2	Subunit of the CCR4-NOT complex, which has roles in transcription regulation, mRNA degradation, and post-transcriptional modifications; with Ubc4p, ubiquitinates nascent polypeptide-associated complex subunits and histone demethyase Jhd2p 	V	293050	294813	1
YER069W	-0.333058396590405	0.000145243282498184	-405.65	ARG5,6	Protein that is processed in the mitochondrion to yield acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase, which catalyze the 2nd and 3rd steps in arginine biosynthesis; enzymes form a complex with Arg2p 	V	295410	298001	1
YER070W	0.370739702604816	0.000145243282498184	641	RNR1	Major isoform of the large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits 	V	298950	301616	1
YER071C	-0.0578219202712216	0.110498910675381	-101.85	TDA2	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; null mutant is sensitive to expression of the top1-T722A allele 	V	301947	302327	-1
YER072W	0.600811396315766	0.000145243282498184	893.8	VTC1	Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity 	V	302806	303195	1
YER073W	0.326810148730604	0.000145243282498184	761.35	ALD5	Mitochondrial aldehyde dehydrogenase, involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed 	V	304030	305592	1
YER074W	0.173575824727531	0.000145243282498184	553.8	RPS24A	Protein component of the small (40S) ribosomal subunit; identical to Rps24Bp and has similarity to rat S24 ribosomal protein 	V	306323	307196	1
YER074W-A	-0.145340821468732	0.000146695715323198	-390	YOS1	Integral membrane protein required for ER to Golgi transport; localized to the Golgi, the ER, and COPII vesicles; interacts with Yip1p and Yif1p 	V	307653	308123	1
YER075C	0.195808820707628	0.000148148148148212	384.7	PTP3	Phosphotyrosine-specific protein phosphatase involved in the inactivation of mitogen-activated protein kinase (MAPK) during osmolarity sensing; dephosporylates Hog1p MAPK and regulates its localization; localized to the cytoplasm 	V	308413	311199	-1
YER076C	0.0430355764211558	0.0523899782135076	128.45	YER076C	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; analysis of HA-tagged protein suggests a membrane localization 	V	312590	313498	-1
YER076W-A	0.144063305629071	0.285200435729847	65.1	YER076W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YER076C 	V	313390	313737	1
YER077C	0.0806130909466344	0.0690900508351489	118.85	YER077C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; null mutation results in a decrease in plasma membrane electron transport 	V	314534	316600	-1
YER078C	-0.0827267561522789	0.0034756717501816	-224.4	ICP55	Mitochondrial aminopeptidase; cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability; member of the aminopeptidase P family 	V	316807	318342	-1
YER078W-A	-0.321893618717261	0.00255265068990557	-237.7	YER078W-A	Putative protein of unknown function; identified by fungal homology and RT-PCR 	V	318646	318810	1
YER079C-A	0.417353342784104	0.164854030501089	86.85	YER079C-A	Dubious open reading frame unlikely to encode a protein, partially overlaps uncharacterized ORF YER080W 	V	319902	320240	-1
YER079W	-0.296280365022425	0.000145243282498184	-552.4	YER079W	Putative protein of unknown function 	V	318920	319552	1
YER080W	-0.147347291881558	0.000153957879448134	-364	AIM9	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss 	V	319963	321846	1
YER081W	-1.56136794718995	0.000145243282498184	-902	SER3	3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis; isozyme of Ser33p 	V	322686	324095	1
YER082C	0.43643291907473	0.000145243282498184	594.85	UTP7	Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA 	V	324272	325936	-1
YER083C	-0.110481686916169	0.00160639070442998	-257.7	GET2	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division 	V	326174	327031	-1
YER084W	-0.627819177769531	0.000145243282498184	-543.65	YER084W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	V	327065	327451	1
YER084W-A	-0.582259710752731	0.00353449527959332	-223.55	YER084W-A	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	V	327598	328110	1
YER085C	-0.00118055231977028	0.955764705882353	3.25	YER085C	Putative protein of unknown function 	V	327619	328140	-1
YER086W	0.155150744365362	0.000145243282498184	505.25	ILV1	Threonine deaminase, catalyzes the first step in isoleucine biosynthesis; expression is under general amino acid control; ILV1 locus exhibits highly positioned nucleosomes whose organization is independent of known ILV1 regulation 	V	328477	330207	1
YER087C-A	0.160975959237992	0.712802469135803	21.65	YER087C-A	Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data; overlaps the uncharacterized gene YER087W, a putative tRNA synthetase 	V	331817	332368	-1
